t,x,y,z,roll,pitch,yaw
0.00000,0.04000,0.01241,0.28825,-0.01944,0.00694,0.00000
0.10000,0.08000,0.01165,0.29138,-0.02079,0.00715,-0.00000
0.20000,0.12000,0.01078,0.29475,-0.02179,0.00711,0.00000
0.30000,0.16000,0.00980,0.29832,-0.02243,0.00682,0.00000
0.40000,0.20000,0.00874,0.30203,-0.02269,0.00627,0.00000
0.50000,0.24000,0.00760,0.30581,-0.02255,0.00547,0.00000
0.60000,0.28000,0.00641,0.30961,-0.02203,0.00445,0.00000
0.70000,0.32000,0.00516,0.31335,-0.02113,0.00324,0.00000
0.80000,0.36000,0.00389,0.31699,-0.01988,0.00190,0.00000
0.90000,0.40000,0.00261,0.32044,-0.01830,0.00045,0.00000
1.00000,0.44000,0.00133,0.32366,-0.01643,-0.00103,0.00000
1.10000,0.48000,0.00007,0.32659,-0.01434,-0.00251,0.00000
1.20000,0.52000,-0.00115,0.32918,-0.01206,-0.00394,0.00000
1.30000,0.56000,-0.00232,0.33138,-0.00965,-0.00527,0.00000
1.40000,0.60000,-0.00343,0.33316,-0.00719,-0.00649,-0.00000
1.50000,0.64000,-0.00446,0.33449,-0.00471,-0.00757,0.00000
1.60000,0.68000,-0.00539,0.33534,-0.00229,-0.00850,-0.00000
1.70000,0.72000,-0.00621,0.33571,0.00003,-0.00928,0.00000
1.80000,0.76000,-0.00692,0.33558,0.00221,-0.00992,0.00000
1.90000,0.80000,-0.00751,0.33495,0.00420,-0.01043,0.00000
2.00000,0.84000,-0.00796,0.33385,0.00598,-0.01082,0.00000
2.10000,0.88000,-0.00828,0.33227,0.00754,-0.01111,0.00000
2.20000,0.92000,-0.00845,0.33026,0.00886,-0.01131,0.00000
2.30000,0.96000,-0.00848,0.32782,0.00995,-0.01143,0.00000
2.40000,1.00000,-0.00838,0.32501,0.01082,-0.01147,0.00000
2.50000,1.04000,-0.00814,0.32185,0.01149,-0.01143,0.00000
2.60000,1.08000,-0.00777,0.31839,0.01199,-0.01130,0.00000
2.70000,1.12000,-0.00728,0.31467,0.01234,-0.01107,0.00000
2.80000,1.16000,-0.00669,0.31073,0.01259,-0.01072,0.00000
2.90000,1.20000,-0.00600,0.30664,0.01276,-0.01022,0.00000
3.00000,1.24000,-0.00523,0.30243,0.01288,-0.00956,-0.00000
3.10000,1.28000,-0.00440,0.29815,0.01300,-0.00872,0.00000
3.20000,1.32000,-0.00353,0.29386,0.01312,-0.00769,0.00000
3.30000,1.36000,-0.00264,0.28961,0.01327,-0.00646,0.00000
3.40000,1.40000,-0.00175,0.28545,0.01346,-0.00503,0.00000
3.50000,1.44000,-0.00087,0.28143,0.01369,-0.00343,0.00000
3.60000,1.48000,-0.00004,0.27760,0.01395,-0.00167,0.00000
3.70000,1.52000,0.00074,0.27400,0.01424,0.00021,0.00000
3.80000,1.56000,0.00144,0.27070,0.01453,0.00216,0.00000
3.90000,1.60000,0.00204,0.26772,0.01480,0.00413,0.00000
4.00000,1.64000,0.00254,0.26512,0.01502,0.00607,0.00000
4.10000,1.68000,0.00292,0.26293,0.01515,0.00793,-0.00000
4.20000,1.72000,0.00317,0.26120,0.01517,0.00964,-0.00000
4.30000,1.76000,0.00328,0.25994,0.01503,0.01116,-0.00000
4.40000,1.80000,0.00325,0.25918,0.01471,0.01245,0.00000
4.50000,1.84000,0.00309,0.25894,0.01417,0.01347,0.00000
4.60000,1.88000,0.00279,0.25924,0.01339,0.01420,0.00000
4.70000,1.92000,0.00237,0.26008,0.01236,0.01463,-0.00000
4.80000,1.96000,0.00182,0.26144,0.01106,0.01477,0.00000
4.90000,2.00000,0.00117,0.26332,0.00948,0.01462,0.00000
5.00000,2.04000,0.00043,0.26570,0.00764,0.01421,0.00000
5.10000,2.08000,-0.00038,0.26854,0.00554,0.01357,0.00000
5.20000,2.12000,-0.00125,0.27180,0.00321,0.01273,0.00000
5.30000,2.16000,-0.00215,0.27545,0.00067,0.01173,-0.00000
5.40000,2.20000,-0.00306,0.27943,-0.00204,0.01061,0.00000
5.50000,2.24000,-0.00397,0.28367,-0.00487,0.00940,0.00000
5.60000,2.28000,-0.00484,0.28813,-0.00779,0.00813,0.00000
5.70000,2.32000,-0.00566,0.29273,-0.01074,0.00684,0.00000
5.80000,2.36000,-0.00641,0.29740,-0.01367,0.00554,0.00000
5.90000,2.40000,-0.00707,0.30208,-0.01653,0.00424,0.00000
6.00000,2.44000,-0.00763,0.30670,-0.01926,0.00296,-0.00000
6.10000,2.48000,-0.00807,0.31119,-0.02182,0.00171,0.00000
6.20000,2.52000,-0.00838,0.31549,-0.02416,0.00048,0.00000
6.30000,2.56000,-0.00855,0.31955,-0.02624,-0.00071,0.00000
6.40000,2.60000,-0.00859,0.32331,-0.02801,-0.00188,-0.00000
6.50000,2.64000,-0.00847,0.32671,-0.02944,-0.00300,0.00000
6.60000,2.68000,-0.00822,0.32973,-0.03051,-0.00409,0.00000
6.70000,2.72000,-0.00781,0.33232,-0.03118,-0.00512,-0.00000
6.80000,2.76000,-0.00728,0.33446,-0.03145,-0.00608,0.00000
6.90000,2.80000,-0.00661,0.33613,-0.03130,-0.00696,-0.00000
7.00000,2.84000,-0.00581,0.33731,-0.03071,-0.00773,0.00000
7.10000,2.88000,-0.00491,0.33799,-0.02970,-0.00839,0.00000
7.20000,2.92000,-0.00390,0.33819,-0.02825,-0.00891,-0.00000
7.30000,2.96000,-0.00280,0.33790,-0.02637,-0.00928,0.00000
7.40000,3.00000,-0.00162,0.33714,-0.02409,-0.00949,-0.00000
7.50000,3.04000,-0.00038,0.33593,-0.02140,-0.00954,-0.00000
7.60000,3.08000,0.00092,0.33429,-0.01833,-0.00942,0.00000
7.70000,3.12000,0.00225,0.33226,-0.01492,-0.00915,0.00000
7.80000,3.16000,0.00360,0.32988,-0.01118,-0.00875,0.00000
7.90000,3.20000,0.00496,0.32718,-0.00716,-0.00824,-0.00000
8.00000,3.24000,0.00631,0.32421,-0.00292,-0.00763,0.00000
8.10000,3.28000,0.00764,0.32101,0.00151,-0.00698,0.00000
8.20000,3.32000,0.00893,0.31764,0.00604,-0.00630,0.00000
8.30000,3.36000,0.01017,0.31414,0.01062,-0.00563,0.00000
8.40000,3.40000,0.01134,0.31057,0.01516,-0.00499,0.00000
8.50000,3.44000,0.01243,0.30698,0.01958,-0.00440,0.00000
8.60000,3.48000,0.01342,0.30342,0.02379,-0.00389,0.00000
8.70000,3.52000,0.01431,0.29994,0.02769,-0.00344,-0.00000
8.80000,3.56000,0.01506,0.29657,0.03120,-0.00307,0.00000
8.90000,3.60000,0.01568,0.29337,0.03423,-0.00276,-0.00000
9.00000,3.64000,0.01614,0.29036,0.03669,-0.00250,-0.00000
9.10000,3.68000,0.01645,0.28759,0.03851,-0.00226,0.00000
9.20000,3.72000,0.01659,0.28508,0.03963,-0.00201,0.00000
9.30000,3.76000,0.01655,0.28284,0.04002,-0.00174,0.00000
9.40000,3.80000,0.01634,0.28089,0.03964,-0.00141,0.00000
9.50000,3.84000,0.01594,0.27925,0.03851,-0.00100,-0.00000
9.60000,3.88000,0.01536,0.27791,0.03663,-0.00050,-0.00000
9.70000,3.92000,0.01461,0.27687,0.03406,0.00011,0.00000
9.80000,3.96000,0.01368,0.27614,0.03085,0.00082,-0.00000
9.90000,4.00000,0.01259,0.27569,0.02710,0.00162,0.00000
10.00000,4.04000,0.01135,0.27552,0.02292,0.00250,0.00000
10.10000,4.08000,0.00996,0.27560,0.01840,0.00344,0.00000
10.20000,4.12000,0.00845,0.27593,0.01370,0.00441,-0.00000
10.30000,4.16000,0.00682,0.27648,0.00892,0.00539,0.00000
10.40000,4.20000,0.00510,0.27722,0.00421,0.00632,-0.00000
10.50000,4.24000,0.00330,0.27815,-0.00032,0.00720,-0.00000
10.60000,4.28000,0.00143,0.27924,-0.00456,0.00799,0.00000
10.70000,4.32000,-0.00048,0.28046,-0.00841,0.00867,0.00000
10.80000,4.36000,-0.00241,0.28181,-0.01179,0.00922,0.00000
10.90000,4.40000,-0.00435,0.28325,-0.01466,0.00964,0.00000
11.00000,4.44000,-0.00628,0.28478,-0.01698,0.00993,0.00000
11.10000,4.48000,-0.00818,0.28638,-0.01875,0.01007,0.00000
11.20000,4.52000,-0.01004,0.28803,-0.01998,0.01010,-0.00000
11.30000,4.56000,-0.01183,0.28971,-0.02072,0.01000,0.00000
11.40000,4.60000,-0.01354,0.29141,-0.02102,0.00980,-0.00000
11.50000,4.64000,-0.01514,0.29311,-0.02094,0.00950,0.00000
