t,x,y,z,roll,pitch,yaw
0.00000,0.04000,0.05109,0.29069,-0.02545,0.01905,-0.00000
0.10000,0.08000,0.05090,0.30508,-0.02966,0.02360,0.00000
0.20000,0.12000,0.05056,0.32006,-0.03344,0.02731,0.00000
0.30000,0.16000,0.05009,0.33551,-0.03668,0.03022,0.00000
0.40000,0.20000,0.04950,0.35129,-0.03931,0.03239,0.00000
0.50000,0.24000,0.04877,0.36724,-0.04126,0.03388,0.00000
0.60000,0.28000,0.04792,0.38323,-0.04250,0.03481,0.00000
0.70000,0.32000,0.04693,0.39909,-0.04304,0.03527,0.00000
0.80000,0.36000,0.04581,0.41466,-0.04291,0.03538,0.00000
0.90000,0.40000,0.04455,0.42978,-0.04216,0.03523,0.00000
1.00000,0.44000,0.04315,0.44431,-0.04089,0.03491,0.00000
1.10000,0.48000,0.04159,0.45809,-0.03921,0.03452,0.00000
1.20000,0.52000,0.03988,0.47098,-0.03724,0.03412,0.00000
1.30000,0.56000,0.03801,0.48284,-0.03513,0.03376,0.00000
1.40000,0.60000,0.03597,0.49355,-0.03301,0.03346,-0.00000
1.50000,0.64000,0.03376,0.50299,-0.03102,0.03326,0.00000
1.60000,0.68000,0.03138,0.51106,-0.02927,0.03313,-0.00000
1.70000,0.72000,0.02883,0.51767,-0.02787,0.03307,0.00000
1.80000,0.76000,0.02612,0.52274,-0.02691,0.03304,0.00000
1.90000,0.80000,0.02324,0.52623,-0.02642,0.03300,-0.00000
2.00000,0.84000,0.02020,0.52807,-0.02645,0.03288,-0.00000
2.10000,0.88000,0.01702,0.52825,-0.02699,0.03262,-0.00000
2.20000,0.92000,0.01369,0.52675,-0.02802,0.03217,0.00000
2.30000,0.96000,0.01024,0.52356,-0.02950,0.03145,-0.00000
2.40000,1.00000,0.00667,0.51872,-0.03139,0.03040,0.00000
2.50000,1.04000,0.00300,0.51223,-0.03360,0.02896,0.00000
2.60000,1.08000,-0.00076,0.50416,-0.03607,0.02710,0.00000
2.70000,1.12000,-0.00458,0.49455,-0.03873,0.02478,0.00000
