t,x,y,z,roll,pitch,yaw
0.00000,0.04000,-0.10782,0.34500,-0.12871,0.02703,-0.00000
0.10000,0.08000,-0.10932,0.36375,-0.12552,0.03491,0.00000
0.20000,0.12000,-0.11041,0.38327,-0.12083,0.04095,-0.00000
0.30000,0.16000,-0.11109,0.40340,-0.11448,0.04523,0.00000
0.40000,0.20000,-0.11134,0.42402,-0.10638,0.04792,0.00000
0.50000,0.24000,-0.11114,0.44495,-0.09645,0.04923,0.00000
0.60000,0.28000,-0.11049,0.46605,-0.08467,0.04942,0.00000
0.70000,0.32000,-0.10938,0.48713,-0.07106,0.04876,0.00000
0.80000,0.36000,-0.10783,0.50804,-0.05570,0.04752,-0.00000
0.90000,0.40000,-0.10582,0.52859,-0.03872,0.04599,-0.00000
1.00000,0.44000,-0.10338,0.54862,-0.02029,0.04440,-0.00000
1.10000,0.48000,-0.10051,0.56797,-0.00065,0.04297,0.00000
1.20000,0.52000,-0.09722,0.58645,0.01994,0.04187,0.00000
1.30000,0.56000,-0.09354,0.60393,0.04119,0.04125,0.00000
1.40000,0.60000,-0.08948,0.62025,0.06277,0.04116,0.00000
1.50000,0.64000,-0.08506,0.63527,0.08434,0.04165,0.00000
1.60000,0.68000,-0.08030,0.64886,0.10559,0.04270,0.00000
1.70000,0.72000,-0.07524,0.66090,0.12617,0.04427,0.00000
1.80000,0.76000,-0.06989,0.67129,0.14580,0.04628,0.00000
1.90000,0.80000,-0.06428,0.67994,0.16417,0.04863,0.00000
2.00000,0.84000,-0.05843,0.68677,0.18106,0.05120,0.00000
2.10000,0.88000,-0.05239,0.69170,0.19626,0.05388,0.00000
2.20000,0.92000,-0.04617,0.69469,0.20959,0.05657,-0.00000
2.30000,0.96000,-0.03980,0.69571,0.22093,0.05915,0.00000
2.40000,1.00000,-0.03330,0.69471,0.23019,0.06153,0.00000
2.50000,1.04000,-0.02672,0.69169,0.23732,0.06366,0.00000
2.60000,1.08000,-0.02007,0.68666,0.24229,0.06546,0.00000
2.70000,1.12000,-0.01338,0.67961,0.24511,0.06691,0.00000
2.80000,1.16000,-0.00667,0.67057,0.24578,0.06797,0.00000
2.90000,1.20000,0.00002,0.65957,0.24435,0.06865,0.00000
3.00000,1.24000,0.00668,0.64665,0.24083,0.06893,0.00000
3.10000,1.28000,0.01328,0.63187,0.23526,0.06881,0.00000
3.20000,1.32000,0.01979,0.61528,0.22767,0.06832,0.00000
3.30000,1.36000,0.02620,0.59694,0.21806,0.06744,-0.00000
3.40000,1.40000,0.03248,0.57693,0.20646,0.06619,0.00000
3.50000,1.44000,0.03860,0.55533,0.19288,0.06457,0.00000
3.60000,1.48000,0.04454,0.53223,0.17732,0.06258,-0.00000
3.70000,1.52000,0.05028,0.50772,0.15980,0.06022,-0.00000
3.80000,1.56000,0.05579,0.48192,0.14036,0.05750,0.00000
3.90000,1.60000,0.06105,0.45492,0.11903,0.05442,-0.00000
4.00000,1.64000,0.06602,0.42684,0.09590,0.05101,0.00000
4.10000,1.68000,0.07069,0.39782,0.07107,0.04728,0.00000
4.20000,1.72000,0.07503,0.36799,0.04469,0.04325,0.00000
4.30000,1.76000,0.07901,0.33748,0.01695,0.03899,0.00000
4.40000,1.80000,0.08260,0.30646,-0.01192,0.03452,0.00000
4.50000,1.84000,0.08579,0.27508,-0.04164,0.02992,0.00000
4.60000,1.88000,0.08856,0.24350,-0.07191,0.02526,0.00000
4.70000,1.92000,0.09088,0.21189,-0.10239,0.02059,0.00000
4.80000,1.96000,0.09273,0.18045,-0.13271,0.01599,0.00000
4.90000,2.00000,0.09411,0.14933,-0.16249,0.01152,0.00000
5.00000,2.04000,0.09500,0.11874,-0.19136,0.00724,0.00000
5.10000,2.08000,0.09541,0.08885,-0.21895,0.00320,0.00000
5.20000,2.12000,0.09532,0.05985,-0.24492,-0.00059,0.00000
5.30000,2.16000,0.09475,0.03191,-0.26895,-0.00410,-0.00000
5.40000,2.20000,0.09370,0.00521,-0.29078,-0.00735,-0.00000
5.50000,2.24000,0.09219,-0.02009,-0.31020,-0.01036,0.00000
5.60000,2.28000,0.09023,-0.04383,-0.32702,-0.01318,0.00000
5.70000,2.32000,0.08784,-0.06587,-0.34116,-0.01587,0.00000
5.80000,2.36000,0.08507,-0.08609,-0.35255,-0.01849,0.00000
5.90000,2.40000,0.08193,-0.10437,-0.36119,-0.02113,0.00000
6.00000,2.44000,0.07846,-0.12061,-0.36711,-0.02387,-0.00000
6.10000,2.48000,0.07471,-0.13475,-0.37040,-0.02678,0.00000
6.20000,2.52000,0.07070,-0.14671,-0.37114,-0.02993,-0.00000
6.30000,2.56000,0.06650,-0.15646,-0.36946,-0.03337,0.00000
6.40000,2.60000,0.06214,-0.16398,-0.36545,-0.03713,0.00000
6.50000,2.64000,0.05766,-0.16925,-0.35924,-0.04122,0.00000
6.60000,2.68000,0.05313,-0.17230,-0.35091,-0.04564,0.00000
6.70000,2.72000,0.04858,-0.17314,-0.34054,-0.05032,0.00000
6.80000,2.76000,0.04406,-0.17182,-0.32817,-0.05522,0.00000
6.90000,2.80000,0.03962,-0.16839,-0.31385,-0.06024,0.00000
7.00000,2.84000,0.03530,-0.16293,-0.29756,-0.06528,0.00000
7.10000,2.88000,0.03115,-0.15550,-0.27931,-0.07020,-0.00000
7.20000,2.92000,0.02720,-0.14619,-0.25907,-0.07487,0.00000
7.30000,2.96000,0.02349,-0.13510,-0.23683,-0.07916,0.00000
7.40000,3.00000,0.02005,-0.12234,-0.21257,-0.08292,0.00000
7.50000,3.04000,0.01690,-0.10801,-0.18632,-0.08605,0.00000
7.60000,3.08000,0.01408,-0.09223,-0.15810,-0.08843,0.00000
7.70000,3.12000,0.01160,-0.07512,-0.12801,-0.08997,0.00000
7.80000,3.16000,0.00947,-0.05681,-0.09615,-0.09063,0.00000
7.90000,3.20000,0.00769,-0.03742,-0.06271,-0.09037,0.00000
8.00000,3.24000,0.00628,-0.01710,-0.02789,-0.08922,0.00000
8.10000,3.28000,0.00522,0.00403,0.00804,-0.08721,0.00000
8.20000,3.32000,0.00451,0.02582,0.04476,-0.08442,0.00000
8.30000,3.36000,0.00413,0.04813,0.08193,-0.08097,-0.00000
8.40000,3.40000,0.00406,0.07084,0.11918,-0.07699,0.00000
8.50000,3.44000,0.00427,0.09379,0.15611,-0.07263,-0.00000
8.60000,3.48000,0.00473,0.11687,0.19232,-0.06806,0.00000
8.70000,3.52000,0.00542,0.13993,0.22740,-0.06345,0.00000
8.80000,3.56000,0.00629,0.16286,0.26097,-0.05896,0.00000
8.90000,3.60000,0.00731,0.18555,0.29266,-0.05473,-0.00000
9.00000,3.64000,0.00843,0.20789,0.32213,-0.05090,0.00000
9.10000,3.68000,0.00961,0.22979,0.34907,-0.04754,0.00000
9.20000,3.72000,0.01081,0.25115,0.37323,-0.04472,-0.00000
9.30000,3.76000,0.01199,0.27192,0.39436,-0.04244,0.00000
9.40000,3.80000,0.01311,0.29203,0.41230,-0.04067,0.00000
9.50000,3.84000,0.01412,0.31143,0.42690,-0.03933,0.00000
9.60000,3.88000,0.01498,0.33009,0.43805,-0.03832,-0.00000
9.70000,3.92000,0.01568,0.34800,0.44570,-0.03746,0.00000
9.80000,3.96000,0.01616,0.36512,0.44982,-0.03659,0.00000
9.90000,4.00000,0.01641,0.38148,0.45040,-0.03551,0.00000
10.00000,4.04000,0.01640,0.39706,0.44750,-0.03401,0.00000
10.10000,4.08000,0.01611,0.41188,0.44117,-0.03190,-0.00000
10.20000,4.12000,0.01552,0.42596,0.43151,-0.02901,0.00000
10.30000,4.16000,0.01464,0.43931,0.41865,-0.02517,0.00000
10.40000,4.20000,0.01344,0.45197,0.40276,-0.02029,0.00000
10.50000,4.24000,0.01193,0.46396,0.38402,-0.01430,0.00000
10.60000,4.28000,0.01011,0.47528,0.36266,-0.00720,0.00000
10.70000,4.32000,0.00800,0.48598,0.33895,0.00098,-0.00000
10.80000,4.36000,0.00560,0.49606,0.31317,0.01013,0.00000
10.90000,4.40000,0.00292,0.50554,0.28566,0.02011,0.00000
11.00000,4.44000,-0.00000,0.51444,0.25676,0.03072,0.00000
11.10000,4.48000,-0.00315,0.52276,0.22684,0.04175,0.00000
11.20000,4.52000,-0.00650,0.53052,0.19629,0.05296,0.00000
11.30000,4.56000,-0.01002,0.53772,0.16548,0.06410,0.00000
